decision_key	category	title	statement	confidence	rationale	evidence_path	effective_at
general_repeat_caller_contract_v0_1_0	algorithm_design	General repeat caller contract v0.1.0 frozen	General repeat measurement will re-estimate raw-read repeat boundaries with an error-aware cyclic repeat model, treat catalog motifs as priors, preserve censored semantics, and explicitly support compound/interruption/LPS outputs.	HIGH	This separates locus assignment from repeat measurement and provides a stable contract for implementation and benchmarking.	/mnt/intelssd/rnatr_project/docs/design/RNA_TR_Scout_general_repeat_caller_contract_v0.1.0.md	2026-08-07T03:30:00+00:00
general_repeat_caller_reference_v0_2_0	algorithm_design	General repeat caller reference v0.2.0 implemented	Reference v0.2.0 adds conservative compound-repeat and interruption segmentation plus distinct exact-sequence and error-aware inferred LPS while preserving v0.1.0 simple-periodic regression behavior by default.	MEDIUM	A compound interpretation replaces the single-motif reference only when explicit strong multi-segment evidence is present; otherwise the v0.1.0-style result remains the oracle.	/mnt/intelssd/rnatr_project/qc/12_general_repeat_caller_compound_lps/v0.2.0/general_repeat_caller_stage12b.qc.tsv	2026-08-07T03:50:00+00:00
general_repeat_caller_reference_v0_3_0	algorithm_design	General repeat caller reference v0.3.0 implemented	Reference v0.3.0 anchors motif selection to the projected locus core before soft tract extension, separates explicit censoring from projection-window context limits, and uses conditional anchored de-novo rescue through period 50.	MEDIUM	The 60-row real software-regression audit showed tract-boundary extension as the dominant discrepancy driver (21/60), motif-selection/de-novo differences in 11/60, and window-edge/context effects in 5/60. The contract change addresses those engineering failure modes without treating the frozen caller as biological truth.	/mnt/intelssd/rnatr_project/qc/12_general_repeat_caller_boundary_censor_denovo/v0.3.0/general_repeat_caller_stage12d.qc.tsv	2026-08-07T05:00:00+00:00
general_repeat_caller_reference_v0_4_0_frozen	algorithm_design	General repeat caller v0.4.0 frozen	Freeze rnatr_general_repeat_caller_ref_v0.4.0 as the measurement reference implementation. Preserve locus-anchored geometric expansion for recovery of repeats longer than the projected prior; do not force agreement to the legacy P0/P1 caller.	HIGH	Backward regressions passed. The 122-case benchmark completed 100%, disease-inspired exact-boundary motif accuracy was 100%, short-prior expansion recovery median was ~100.3% with P10 100%, censoring invariants passed, and de-novo/compound/interruption classification metrics were 100%. Paired real-read comparison showed 50/60 v0.3/v0.4 calls within 5 bp and zero motif changes; projection-window edge extensions are represented as context-limited lower bounds.	/mnt/intelssd/rnatr_project/metadata/general_caller/general_repeat_caller_freeze_v0.4.0.tsv	2026-08-07T07:15:00+00:00
general_repeat_caller_v0_4_1_frozen_reference	algorithm_design	Deterministic general caller v0.4.1 frozen	Promote deterministic Python general caller v0.4.1 as the frozen measurement reference; validated native implementation must remain exactly equivalent for production integration.	HIGH	v0.4.0 hash-order nondeterminism was isolated to pre-existing exact-tie orientation behavior. v0.4.1 fixes only this tie rule, passes all truth/regression suites, and Python/native outputs are identical for all 388,571 rows of the 100k engineering dataset.	/mnt/intelssd/rnatr_project/metadata/general_caller/general_repeat_caller_v0.4.1.validation_manifest.tsv	2026-08-07T12:45:00+00:00
portable_core_result_manifest_v0_1_0	architecture	Portable Core result manifest is the biology-facing interface	Downstream layers resolve stable read_id, target_source, target_region_id, locus_id and evidence/event/call identifiers through core_result_manifest.json; machine-local paths remain in a separate local binding file.	HIGH	Stage15J/L PRE_BIOLOGY smoke passes without Stage/dataset/developer-path dependence in the portable interface.	/mnt/intelssd/rnatr_project/qc/15_stage15n_generic_active_path_promotion/v0.1.0/stage15n_generic_active_path_promotion.qc.tsv	2026-08-11T15:30:00+00:00
stage15r_candidate_multiplicity_closure_v0_1_0	architecture	Close technical candidate-multiplicity inspection	Stage15R technical reverse traceability passed with biology weighting deferred post-Freeze.	HIGH	57 representative reads and 733/733 assignment-to-evidence chains had zero unresolved trace failures.	/mnt/intelssd/rnatr_project/docs/contracts/RNA_TR_Scout_Candidate_assignment_reverse_traceability_contract_v0.1.1.md	2026-08-12T09:45:00+00:00
stage15s_extensibility_hygiene_closure_v0_1_0	architecture	Accept future-extensibility and final-hygiene audit	Seven extension boundaries contain no pre-Freeze hard coupling and final hygiene passes with cleanup/Git/public-release scope retained.	HIGH	Exact active code, schemas, manifests, contracts and both SSOT SQLite originals were audited.	/mnt/intelssd/rnatr_project/docs/governance/RNA_TR_Scout_Core_Freeze_final_hygiene_audit_v0.1.0.md	2026-08-12T09:45:00+00:00
architecture_consistency_audit_cadence_v0_1_0	architecture_governance	Require cross-domain Architecture consistency audits at major checkpoints	Run formal audits after 250k scaling, before biology-layer implementation, and before release candidate. Audit SSOT, active paths, schema/contracts, performance gates, restart/validation scope, biology roadmap, and script lifecycle for contradictions, obsolete remnants, implementation-state inflation, frozen-contract drift, and planned-item omissions.	HIGH	The development graph is complex enough that local stage PASS does not guarantee global architectural consistency.	/mnt/intelssd/rnatr_project/docs/stage15a/RNA_TR_Scout_Architecture_consistency_audit_contract_v0.1.0.md	2026-08-09T00:00:00+00:00
authoritative_originals_required_for_prerc_and_freeze_v0_1_0	architecture_governance	Require exact originals for PRE-RC and Core Freeze reconstruction	PRE_RELEASE_CANDIDATE and Core Freeze conclusions must be based on reread original code, SSOT, schema, contracts, validators, runners, manifests, and formal evidence. Conversation summaries and memory are not authoritative.	HIGH	Missing, ambiguous, or size-capped originals must remain unresolved until supplied and reread.	/mnt/intelssd/rnatr_project/docs/governance/RNA_TR_Scout_Core_Freeze_governance_requirements_v0.1.0.md	2026-08-10T12:30:00+00:00
